SenseLab_M01;
Time Zone;UTC+2:00;
Monitor;80.80.12.F1;
;
Pill n°1;24.00.1A.0B;;;;;;Pill n°2;24.00.20.3A;;;;;;Pill n°3;24.00.1A.0B;;;;;;
Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;
94;06/06/2023;19:10:12;25.95;;;;94;06/06/2023;19:11:55;26.06;;;;94;05/06/2023;19:18:47;25.96;;;;
95;06/06/2023;19:11:12;25.92;;;;95;06/06/2023;19:12:55;26.08;;;;95;05/06/2023;19:19:47;25.95;;;;
96;06/06/2023;19:12:12;25.96;;;;96;06/06/2023;19:13:54;26.1;;;;96;05/06/2023;19:20:47;25.91;;;;
97;06/06/2023;19:13:12;25.99;;;;97;06/06/2023;19:14:54;26.12;;;;97;05/06/2023;19:21:47;25.87;;;;
98;06/06/2023;19:14:12;26.02;;;;98;06/06/2023;19:15:54;26.12;;;;98;05/06/2023;19:22:47;25.93;;;;
99;06/06/2023;19:15:12;26.05;;;;99;06/06/2023;19:16:54;26.12;;;;99;05/06/2023;19:23:47;26.01;;;;
100;06/06/2023;19:16:12;26.07;;;;100;06/06/2023;19:17:54;26.11;;;;100;05/06/2023;19:24:47;26.02;;;;
101;06/06/2023;19:17:12;26.08;;;;101;06/06/2023;19:18:54;26.11;;;;101;05/06/2023;19:25:47;26;;;;
102;06/06/2023;19:18:12;26.08;;;;102;06/06/2023;19:19:54;26.09;;;;102;05/06/2023;19:26:47;26.01;;;;
103;06/06/2023;19:19:12;26.07;;;;103;06/06/2023;19:20:54;26.09;;;;103;05/06/2023;19:27:47;25.98;;;;
104;06/06/2023;19:20:12;26.05;;;;104;06/06/2023;19:21:54;26.07;;;;104;05/06/2023;19:28:47;25.98;;;;
105;06/06/2023;19:21:12;26.07;;;;105;06/06/2023;19:22:54;26.06;;;;105;05/06/2023;19:29:47;26.02;;;;
106;06/06/2023;19:22:12;26.03;;;;106;06/06/2023;19:23:54;26.05;;;;106;05/06/2023;19:30:47;25.99;;;;
107;06/06/2023;19:23:12;26.03;;;;107;06/06/2023;19:24:54;26.04;;;;107;05/06/2023;19:31:47;26.02;;;;
108;06/06/2023;19:24:12;26;Synchronized;;;108;06/06/2023;19:25:54;26.03;;;;108;05/06/2023;19:32:47;26.02;;;;
109;06/06/2023;19:25:12;25.99;;;;109;06/06/2023;19:26:53;26.02;;;;109;05/06/2023;19:33:47;26.01;;;;
110;06/06/2023;19:26:12;26.02;;;;110;06/06/2023;19:27:53;26.02;;;;110;05/06/2023;19:34:47;26;;;;
111;06/06/2023;19:27:12;26.01;;;;111;06/06/2023;19:28:53;26.02;;;;111;05/06/2023;19:35:47;26;;;;
112;06/06/2023;19:28:12;25.99;;;;112;06/06/2023;19:29:53;26;;;;112;05/06/2023;19:36:47;26.02;;;;
113;06/06/2023;19:29:12;25.98;;;;113;06/06/2023;19:30:53;26;;;;113;05/06/2023;19:37:47;26;;;;
114;06/06/2023;19:30:12;25.97;;;;114;06/06/2023;19:31:53;26;;;;114;05/06/2023;19:38:47;26;;;;
115;06/06/2023;19:31:12;25.98;;;;115;06/06/2023;19:32:53;26.01;;;;115;05/06/2023;19:39:47;26;;;;
116;06/06/2023;19:32:12;25.98;;;;116;06/06/2023;19:33:53;25.99;;;;116;05/06/2023;19:40:47;26.02;;;;
117;06/06/2023;19:33:12;25.97;;;;117;06/06/2023;19:34:53;25.99;;;;117;05/06/2023;19:41:47;26.05;;;;
118;06/06/2023;19:34:12;25.96;;;;118;06/06/2023;19:35:53;25.99;;;;118;05/06/2023;19:42:47;26.05;;;;
119;06/06/2023;19:35:12;25.96;;;;119;06/06/2023;19:36:53;25.99;;;;119;05/06/2023;19:43:47;26.08;;;;
120;06/06/2023;19:36:12;25.97;;;;120;06/06/2023;19:37:52;25.98;;;;120;05/06/2023;19:44:47;26.04;;;;
121;06/06/2023;19:37:12;25.95;;;;121;06/06/2023;19:38:52;25.98;;;;121;05/06/2023;19:45:47;26.02;;;;
122;06/06/2023;19:38:12;25.95;;;;122;06/06/2023;19:39:52;25.96;;;;122;05/06/2023;19:46:47;25.99;;;;
123;06/06/2023;19:39:12;25.95;;;;123;06/06/2023;19:40:52;25.98;;;;123;05/06/2023;19:47:47;25.96;;;;
124;06/06/2023;19:40:12;25.97;;;;124;06/06/2023;19:41:52;25.95;;;;124;05/06/2023;19:48:47;25.95;Synchronized;;;
125;06/06/2023;19:41:12;25.95;;;;125;06/06/2023;19:42:52;25.97;;;;125;05/06/2023;19:49:47;25.93;;;;
126;06/06/2023;19:42:12;25.95;;;;126;06/06/2023;19:43:52;25.97;;;;126;05/06/2023;19:50:47;25.92;;;;
127;06/06/2023;19:43:12;25.95;;;;127;06/06/2023;19:44:52;25.95;;;;127;05/06/2023;19:51:47;25.88;;;;
128;06/06/2023;19:44:12;25.95;;;;128;06/06/2023;19:45:52;25.96;;;;128;05/06/2023;19:52:47;25.87;;;;
129;06/06/2023;19:45:12;25.95;;;;129;06/06/2023;19:46:52;25.97;;;;129;05/06/2023;19:53:47;25.84;;;;
130;06/06/2023;19:46:12;25.95;;;;130;06/06/2023;19:47:52;25.95;;;;130;05/06/2023;19:54:47;25.81;;;;
131;06/06/2023;19:47:12;25.95;;;;131;06/06/2023;19:48:51;25.96;;;;131;05/06/2023;19:55:47;25.8;;;;
132;06/06/2023;19:48:12;25.95;;;;132;06/06/2023;19:49:51;25.98;;;;132;05/06/2023;19:56:47;25.78;;;;
133;06/06/2023;19:49:12;25.95;;;;133;06/06/2023;19:50:51;25.97;;;;133;05/06/2023;19:57:47;25.75;;;;
134;06/06/2023;19:50:12;25.93;;;;134;06/06/2023;19:51:51;25.96;;;;134;05/06/2023;19:58:47;25.73;;;;
135;06/06/2023;19:51:12;25.96;;;;135;06/06/2023;19:52:51;25.96;;;;135;05/06/2023;19:59:47;25.73;;;;
136;06/06/2023;19:52:12;25.95;;;;136;06/06/2023;19:53:51;25.97;;;;136;05/06/2023;20:00:47;25.7;;;;
137;06/06/2023;19:53:12;25.95;;;;137;06/06/2023;19:54:51;25.96;;;;137;05/06/2023;20:01:47;25.67;;;;
138;06/06/2023;19:54:12;25.95;;;;138;06/06/2023;19:55:51;25.97;;;;138;05/06/2023;20:02:47;25.67;;;;
139;06/06/2023;19:55:12;25.95;;;;139;06/06/2023;19:56:51;25.98;;;;139;05/06/2023;20:03:47;25.63;;;;
140;06/06/2023;19:56:12;25.95;;;;140;06/06/2023;19:57:51;25.96;;;;140;05/06/2023;20:04:47;25.61;;;;
141;06/06/2023;19:57:12;25.92;;;;141;06/06/2023;19:58:51;25.97;;;;141;05/06/2023;20:05:47;25.6;Synchronized;;;
142;06/06/2023;19:58:12;25.93;;;;142;06/06/2023;19:59:50;25.97;;;;142;05/06/2023;20:06:47;25.58;;;;
143;06/06/2023;19:59:12;25.96;;;;143;06/06/2023;20:00:50;25.97;;;;143;05/06/2023;20:07:48;25.58;;;;
144;06/06/2023;20:00:12;25.93;;;;144;06/06/2023;20:01:50;25.97;;;;144;05/06/2023;20:08:48;25.55;;;;
145;06/06/2023;20:01:12;25.92;;;;145;06/06/2023;20:02:50;25.98;;;;145;05/06/2023;20:09:48;25.52;;;;
146;06/06/2023;20:02:12;25.92;;;;146;06/06/2023;20:03:50;25.98;;;;146;05/06/2023;20:10:48;25.51;;;;
147;06/06/2023;20:03:12;25.91;;;;147;06/06/2023;20:04:50;25.98;;;;147;05/06/2023;20:11:48;25.52;;;;
148;06/06/2023;20:04:12;25.93;;;;148;06/06/2023;20:05:50;25.98;;;;148;05/06/2023;20:12:48;25.48;;;;
149;06/06/2023;20:05:12;25.9;;;;149;06/06/2023;20:06:50;25.96;;;;149;05/06/2023;20:13:48;25.47;;;;
150;06/06/2023;20:06:12;25.9;;;;150;06/06/2023;20:07:50;25.98;;;;150;05/06/2023;20:14:48;25.48;;;;
151;06/06/2023;20:07:12;25.9;;;;151;06/06/2023;20:08:50;25.97;;;;151;05/06/2023;20:15:48;25.46;;;;
152;06/06/2023;20:08:12;25.91;;;;152;06/06/2023;20:09:50;25.98;;;;152;05/06/2023;20:16:48;25.44;;;;
153;06/06/2023;20:09:12;25.89;;;;153;06/06/2023;20:10:50;25.98;;;;153;05/06/2023;20:17:48;25.41;;;;
154;06/06/2023;20:10:12;25.9;;;;154;06/06/2023;20:11:50;25.97;;;;154;05/06/2023;20:18:48;25.42;;;;
