SenseLab_M01;
Time Zone;UTC+2:00;
Monitor;80.80.12.F1;
;
Pill n°1;24.00.1A.0B;;;;;;Pill n°2;24.00.20.3A;;;;;;Pill n°3;24.00.1A.0B;;;;;;
Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;
598;07/06/2023;03:34:18;25.13;;;;598;07/06/2023;03:35:21;25.29;;;;598;06/06/2023;03:43:08;24.61;;;;
599;07/06/2023;03:35:18;25.15;;;;599;07/06/2023;03:36:21;25.29;;;;599;06/06/2023;03:44:08;24.62;;;;
600;07/06/2023;03:36:18;25.14;;;;600;07/06/2023;03:37:21;25.28;;;;600;06/06/2023;03:45:08;24.63;;;;
601;07/06/2023;03:37:18;25.13;;;;601;07/06/2023;03:38:21;25.28;;;;601;06/06/2023;03:46:08;24.61;;;;
602;07/06/2023;03:38:18;25.13;;;;602;07/06/2023;03:39:21;25.29;;;;602;06/06/2023;03:47:08;24.61;;;;
603;07/06/2023;03:39:18;25.13;;;;603;07/06/2023;03:40:21;25.27;;;;603;06/06/2023;03:48:08;24.62;;;;
604;07/06/2023;03:40:18;25.13;;;;604;07/06/2023;03:41:21;25.27;;;;604;06/06/2023;03:49:08;24.59;;;;
605;07/06/2023;03:41:18;25.12;;;;605;07/06/2023;03:42:21;25.27;;;;605;06/06/2023;03:50:08;24.62;;;;
606;07/06/2023;03:42:18;25.13;;;;606;07/06/2023;03:43:21;25.27;;;;606;06/06/2023;03:51:08;24.62;;;;
607;07/06/2023;03:43:18;25.12;;;;607;07/06/2023;03:44:21;25.29;;;;607;06/06/2023;03:52:08;24.63;;;;
608;07/06/2023;03:44:18;25.1;;;;608;07/06/2023;03:45:21;25.27;;;;608;06/06/2023;03:53:08;24.63;;;;
609;07/06/2023;03:45:18;25.11;;;;609;07/06/2023;03:46:21;25.27;;;;609;06/06/2023;03:54:08;24.62;;;;
610;07/06/2023;03:46:18;25.11;;;;610;07/06/2023;03:47:21;25.27;;;;610;06/06/2023;03:55:08;24.61;;;;
611;07/06/2023;03:47:18;25.11;;;;611;07/06/2023;03:48:20;25.27;;;;611;06/06/2023;03:56:09;24.63;;;;
612;07/06/2023;03:48:18;25.1;;;;612;07/06/2023;03:49:20;25.28;;;;612;06/06/2023;03:57:09;24.62;;;;
613;07/06/2023;03:49:18;25.11;;;;613;07/06/2023;03:50:20;25.27;;;;613;06/06/2023;03:58:09;24.62;;;;
614;07/06/2023;03:50:18;25.13;;;;614;07/06/2023;03:51:20;25.27;;;;614;06/06/2023;03:59:09;24.62;;;;
615;07/06/2023;03:51:18;25.12;;;;615;07/06/2023;03:52:20;25.27;;;;615;06/06/2023;04:00:09;24.6;;;;
616;07/06/2023;03:52:18;25.13;;;;616;07/06/2023;03:53:20;25.25;;;;616;06/06/2023;04:01:09;24.63;;;;
617;07/06/2023;03:53:18;25.09;;;;617;07/06/2023;03:54:20;25.26;;;;617;06/06/2023;04:02:09;24.62;;;;
618;07/06/2023;03:54:18;25.1;;;;618;07/06/2023;03:55:20;25.25;;;;618;06/06/2023;04:03:09;24.63;;;;
619;07/06/2023;03:55:18;25.1;;;;619;07/06/2023;03:56:20;25.27;;;;619;06/06/2023;04:04:09;24.63;;;;
620;07/06/2023;03:56:18;25.11;;;;620;07/06/2023;03:57:20;25.24;;;;620;06/06/2023;04:05:09;24.61;;;;
621;07/06/2023;03:57:18;25.12;;;;621;07/06/2023;03:58:20;25.27;;;;621;06/06/2023;04:06:09;24.61;;;;
622;07/06/2023;03:58:18;25.1;;;;622;07/06/2023;03:59:20;25.26;;;;622;06/06/2023;04:07:09;24.63;;;;
623;07/06/2023;03:59:18;25.09;;;;623;07/06/2023;04:00:20;25.27;;;;623;06/06/2023;04:08:09;24.61;;;;
624;07/06/2023;04:00:18;25.1;;;;624;07/06/2023;04:01:20;25.26;;;;624;06/06/2023;04:09:09;24.61;;;;
625;07/06/2023;04:01:18;25.12;;;;625;07/06/2023;04:02:20;25.25;;;;625;06/06/2023;04:10:09;24.62;;;;
626;07/06/2023;04:02:18;25.1;;;;626;07/06/2023;04:03:20;25.26;;;;626;06/06/2023;04:11:09;24.62;;;;
627;07/06/2023;04:03:18;25.09;;;;627;07/06/2023;04:04:20;25.28;;;;627;06/06/2023;04:12:09;24.61;;;;
628;07/06/2023;04:04:18;25.1;;;;628;07/06/2023;04:05:20;25.26;;;;628;06/06/2023;04:13:09;24.61;;;;
629;07/06/2023;04:05:18;25.1;;;;629;07/06/2023;04:06:20;25.26;;;;629;06/06/2023;04:14:09;24.61;;;;
630;07/06/2023;04:06:18;25.08;;;;630;07/06/2023;04:07:19;25.27;;;;630;06/06/2023;04:15:10;24.6;Synchronized;;;
631;07/06/2023;04:07:18;25.11;;;;631;07/06/2023;04:08:19;25.25;;;;631;06/06/2023;04:16:10;24.62;;;;
632;07/06/2023;04:08:18;25.1;;;;632;07/06/2023;04:09:19;25.27;;;;632;06/06/2023;04:17:10;24.62;;;;
633;07/06/2023;04:09:18;25.12;;;;633;07/06/2023;04:10:19;25.25;;;;633;06/06/2023;04:18:10;24.6;;;;
634;07/06/2023;04:10:18;25.09;;;;634;07/06/2023;04:11:19;25.26;;;;634;06/06/2023;04:19:10;24.62;;;;
635;07/06/2023;04:11:18;25.12;;;;635;07/06/2023;04:12:19;25.25;;;;635;06/06/2023;04:20:10;24.6;;;;
636;07/06/2023;04:12:18;25.1;;;;636;07/06/2023;04:13:19;25.24;;;;636;06/06/2023;04:21:10;24.62;;;;
637;07/06/2023;04:13:18;25.09;;;;637;07/06/2023;04:14:19;25.25;;;;637;06/06/2023;04:22:10;24.61;;;;
638;07/06/2023;04:14:18;25.11;;;;638;07/06/2023;04:15:19;25.27;;;;638;06/06/2023;04:23:10;24.6;;;;
639;07/06/2023;04:15:18;25.09;;;;639;07/06/2023;04:16:19;25.25;;;;639;06/06/2023;04:24:10;24.61;;;;
640;07/06/2023;04:16:18;25.11;;;;640;07/06/2023;04:17:19;25.23;;;;640;06/06/2023;04:25:10;24.63;;;;
641;07/06/2023;04:17:18;25.11;;;;641;07/06/2023;04:18:19;25.26;;;;641;06/06/2023;04:26:10;24.61;;;;
642;07/06/2023;04:18:18;25.11;;;;642;07/06/2023;04:19:19;25.26;;;;642;06/06/2023;04:27:10;24.62;;;;
643;07/06/2023;04:19:18;25.09;;;;643;07/06/2023;04:20:19;25.25;;;;643;06/06/2023;04:28:10;24.6;;;;
644;07/06/2023;04:20:18;25.08;;;;644;07/06/2023;04:21:19;25.24;;;;644;06/06/2023;04:29:10;24.63;;;;
645;07/06/2023;04:21:18;25.09;;;;645;07/06/2023;04:22:19;25.26;;;;645;06/06/2023;04:30:10;24.61;;;;
646;07/06/2023;04:22:18;25.09;;;;646;07/06/2023;04:23:19;25.26;;;;646;06/06/2023;04:31:11;24.6;Synchronized;;;
647;07/06/2023;04:23:18;25.09;;;;647;07/06/2023;04:24:19;25.25;;;;647;06/06/2023;04:32:11;24.63;;;;
648;07/06/2023;04:24:18;25.07;;;;648;07/06/2023;04:25:19;25.23;;;;648;06/06/2023;04:33:11;24.61;;;;
649;07/06/2023;04:25:18;25.07;;;;649;07/06/2023;04:26:19;25.23;;;;649;06/06/2023;04:34:11;24.59;;;;
650;07/06/2023;04:26:18;25.06;;;;650;07/06/2023;04:27:19;25.25;;;;650;06/06/2023;04:35:11;24.62;;;;
651;07/06/2023;04:27:18;25.07;;;;651;07/06/2023;04:28:18;25.23;;;;651;06/06/2023;04:36:11;24.63;;;;
652;07/06/2023;04:28:18;25.08;;;;652;07/06/2023;04:29:18;25.24;;;;652;06/06/2023;04:37:11;24.6;;;;
653;07/06/2023;04:29:18;25.05;;;;653;07/06/2023;04:30:18;25.23;;;;653;06/06/2023;04:38:11;24.6;;;;
654;07/06/2023;04:30:18;25.09;;;;654;07/06/2023;04:31:18;25.26;;;;654;06/06/2023;04:39:11;24.6;;;;
655;07/06/2023;04:31:18;25.04;;;;655;07/06/2023;04:32:18;25.24;;;;655;06/06/2023;04:40:11;24.6;;;;
656;07/06/2023;04:32:18;25.08;;;;656;07/06/2023;04:33:18;25.24;;;;656;06/06/2023;04:41:11;24.6;;;;
657;07/06/2023;04:33:18;25.07;;;;657;07/06/2023;04:34:18;25.23;;;;657;06/06/2023;04:42:11;24.6;;;;
658;07/06/2023;04:34:18;25.06;;;;658;07/06/2023;04:35:18;25.25;;;;658;06/06/2023;04:43:11;24.61;;;;
659;07/06/2023;04:35:18;25.08;;;;659;07/06/2023;04:36:18;25.22;;;;659;06/06/2023;04:44:11;24.62;;;;
660;07/06/2023;04:36:18;25.07;;;;660;07/06/2023;04:37:18;25.23;;;;660;06/06/2023;04:45:11;24.61;;;;
661;07/06/2023;04:37:18;25.04;;;;661;07/06/2023;04:38:18;25.23;;;;661;06/06/2023;04:46:11;24.62;;;;
662;07/06/2023;04:38:18;25.05;;;;662;07/06/2023;04:39:18;25.25;;;;662;06/06/2023;04:47:11;24.61;;;;
663;07/06/2023;04:39:18;25.05;;;;663;07/06/2023;04:40:18;25.23;;;;663;06/06/2023;04:48:11;24.6;;;;
664;07/06/2023;04:40:18;25.05;;;;664;07/06/2023;04:41:18;25.23;;;;664;06/06/2023;04:49:11;24.59;;;;
665;07/06/2023;04:41:18;25.05;;;;665;07/06/2023;04:42:18;25.25;;;;665;06/06/2023;04:50:12;24.62;;;;
666;07/06/2023;04:42:18;25.05;;;;666;07/06/2023;04:43:18;25.23;;;;666;06/06/2023;04:51:12;24.63;;;;
667;07/06/2023;04:43:18;25.07;;;;667;07/06/2023;04:44:18;25.23;;;;667;06/06/2023;04:52:12;24.6;;;;
668;07/06/2023;04:44:18;25.07;;;;668;07/06/2023;04:45:18;25.23;;;;668;06/06/2023;04:53:12;24.61;;;;
669;07/06/2023;04:45:18;25.05;;;;669;07/06/2023;04:46:18;25.23;;;;669;06/06/2023;04:54:12;24.6;;;;
670;07/06/2023;04:46:18;25.05;;;;670;07/06/2023;04:47:18;25.22;;;;670;06/06/2023;04:55:12;24.62;;;;
671;07/06/2023;04:47:18;25.07;;;;671;07/06/2023;04:48:18;25.23;;;;671;06/06/2023;04:56:12;24.61;;;;
672;07/06/2023;04:48:18;25.05;;;;672;07/06/2023;04:49:18;25.23;;;;672;06/06/2023;04:57:12;24.58;;;;
673;07/06/2023;04:49:18;25.08;;;;673;07/06/2023;04:50:17;25.21;;;;673;06/06/2023;04:58:12;24.62;;;;
674;07/06/2023;04:50:18;25.07;;;;674;07/06/2023;04:51:17;25.23;;;;674;06/06/2023;04:59:12;24.61;;;;
675;07/06/2023;04:51:18;25.06;;;;675;07/06/2023;04:52:17;25.23;;;;675;06/06/2023;05:00:12;24.6;;;;
676;07/06/2023;04:52:18;25.05;;;;676;07/06/2023;04:53:17;25.23;;;;676;06/06/2023;05:01:12;24.62;;;;
677;07/06/2023;04:53:18;25.08;;;;677;07/06/2023;04:54:17;25.23;;;;677;06/06/2023;05:02:12;24.62;;;;
678;07/06/2023;04:54:18;25.05;;;;678;07/06/2023;04:55:17;25.23;;;;678;06/06/2023;05:03:12;24.62;;;;
679;07/06/2023;04:55:18;25.07;;;;679;07/06/2023;04:56:17;25.23;;;;679;06/06/2023;05:04:12;24.62;;;;
680;07/06/2023;04:56:18;25.06;;;;680;07/06/2023;04:57:17;25.2;;;;680;06/06/2023;05:05:12;24.6;;;;
681;07/06/2023;04:57:18;25.06;;;;681;07/06/2023;04:58:17;25.2;;;;681;06/06/2023;05:06:12;24.59;;;;
682;07/06/2023;04:58:18;25.05;;;;682;07/06/2023;04:59:17;25.23;;;;682;06/06/2023;05:07:12;24.61;;;;
683;07/06/2023;04:59:18;25.05;;;;683;07/06/2023;05:00:17;25.22;;;;683;06/06/2023;05:08:12;24.62;;;;
684;07/06/2023;05:00:18;25.05;;;;684;07/06/2023;05:01:17;25.21;;;;684;06/06/2023;05:09:13;24.6;;;;
685;07/06/2023;05:01:18;25.06;;;;685;07/06/2023;05:02:17;25.2;;;;685;06/06/2023;05:10:13;24.63;;;;
686;07/06/2023;05:02:18;25.05;;;;686;07/06/2023;05:03:17;25.2;;;;686;06/06/2023;05:11:13;24.58;;;;
687;07/06/2023;05:03:18;25.04;;;;687;07/06/2023;05:04:17;25.2;;;;687;06/06/2023;05:12:13;24.62;;;;
688;07/06/2023;05:04:18;25.05;;;;688;07/06/2023;05:05:17;25.17;;;;688;06/06/2023;05:13:13;24.59;;;;
689;07/06/2023;05:05:18;25.03;;;;689;07/06/2023;05:06:17;25.21;;;;689;06/06/2023;05:14:13;24.6;;;;
690;07/06/2023;05:06:18;25.07;;;;690;07/06/2023;05:07:17;25.23;;;;690;06/06/2023;05:15:13;24.6;;;;
691;07/06/2023;05:07:18;25.05;;;;691;07/06/2023;05:08:17;25.2;;;;691;06/06/2023;05:16:13;24.59;;;;
692;07/06/2023;05:08:18;25.04;Synchronized;;;692;07/06/2023;05:09:17;25.2;;;;692;06/06/2023;05:17:13;24.61;;;;
693;07/06/2023;05:09:18;25.05;;;;693;07/06/2023;05:10:17;25.21;;;;693;06/06/2023;05:18:13;24.61;;;;
694;07/06/2023;05:10:19;25.03;;;;694;07/06/2023;05:11:17;25.2;;;;694;06/06/2023;05:19:13;24.59;;;;
695;07/06/2023;05:11:19;25.05;;;;695;07/06/2023;05:12:17;25.2;;;;695;06/06/2023;05:20:13;24.61;;;;
696;07/06/2023;05:12:19;25.04;;;;696;07/06/2023;05:13:17;25.22;;;;696;06/06/2023;05:21:13;24.58;;;;
697;07/06/2023;05:13:19;25.05;;;;697;07/06/2023;05:14:17;25.2;;;;697;06/06/2023;05:22:13;24.6;;;;
698;07/06/2023;05:14:19;25.02;;;;698;07/06/2023;05:15:17;25.19;;;;698;06/06/2023;05:23:13;24.58;;;;
699;07/06/2023;05:15:19;25.04;;;;699;07/06/2023;05:16:16;25.17;;;;699;06/06/2023;05:24:13;24.6;;;;
700;07/06/2023;05:16:19;25.04;;;;700;07/06/2023;05:17:16;25.2;;;;700;06/06/2023;05:25:13;24.6;;;;
701;07/06/2023;05:17:19;25.02;;;;701;07/06/2023;05:18:16;25.2;;;;701;06/06/2023;05:26:13;24.6;;;;
702;07/06/2023;05:18:19;25.05;;;;702;07/06/2023;05:19:16;25.2;;;;702;06/06/2023;05:27:13;24.58;;;;
703;07/06/2023;05:19:19;25.02;;;;703;07/06/2023;05:20:16;25.2;;;;703;06/06/2023;05:28:14;24.6;;;;
704;07/06/2023;05:20:19;25.03;;;;704;07/06/2023;05:21:16;25.2;;;;704;06/06/2023;05:29:14;24.6;;;;
705;07/06/2023;05:21:19;25.03;;;;705;07/06/2023;05:22:16;25.2;;;;705;06/06/2023;05:30:14;24.59;;;;
706;07/06/2023;05:22:19;25.04;;;;706;07/06/2023;05:23:16;25.2;;;;706;06/06/2023;05:31:14;24.61;;;;
707;07/06/2023;05:23:19;25.04;;;;707;07/06/2023;05:24:16;25.2;;;;707;06/06/2023;05:32:14;24.61;;;;
708;07/06/2023;05:24:19;25.02;;;;708;07/06/2023;05:25:16;25.19;;;;708;06/06/2023;05:33:14;24.58;;;;
709;07/06/2023;05:25:19;25.03;;;;709;07/06/2023;05:26:16;25.19;;;;709;06/06/2023;05:34:14;24.62;;;;
710;07/06/2023;05:26:19;25.04;;;;710;07/06/2023;05:27:16;25.17;;;;710;06/06/2023;05:35:14;24.6;;;;
711;07/06/2023;05:27:19;25.03;;;;711;07/06/2023;05:28:16;25.17;;;;711;06/06/2023;05:36:14;24.58;;;;
712;07/06/2023;05:28:19;25.02;;;;712;07/06/2023;05:29:16;25.16;;;;712;06/06/2023;05:37:14;24.59;;;;
713;07/06/2023;05:29:19;25.04;;;;713;07/06/2023;05:30:16;25.17;;;;713;06/06/2023;05:38:14;24.61;;;;
714;07/06/2023;05:30:19;25.02;;;;714;07/06/2023;05:31:16;25.19;;;;714;06/06/2023;05:39:14;24.6;;;;
715;07/06/2023;05:31:19;25.02;;;;715;07/06/2023;05:32:16;25.17;;;;715;06/06/2023;05:40:14;24.6;;;;
716;07/06/2023;05:32:19;25.02;;;;716;07/06/2023;05:33:16;25.2;;;;716;06/06/2023;05:41:14;24.6;;;;
717;07/06/2023;05:33:19;25.04;;;;717;07/06/2023;05:34:16;25.2;;;;717;06/06/2023;05:42:14;24.61;;;;
718;07/06/2023;05:34:19;25.01;;;;718;07/06/2023;05:35:16;25.16;;;;718;06/06/2023;05:43:14;24.6;;;;
719;07/06/2023;05:35:19;25.02;;;;719;07/06/2023;05:36:16;25.16;;;;719;06/06/2023;05:44:14;24.61;;;;
720;07/06/2023;05:36:19;25.02;;;;720;07/06/2023;05:37:16;25.16;;;;720;06/06/2023;05:45:14;24.59;;;;
721;07/06/2023;05:37:19;25.03;;;;721;07/06/2023;05:38:16;25.16;;;;721;06/06/2023;05:46:15;24.59;;;;
722;07/06/2023;05:38:19;25.02;;;;722;07/06/2023;05:39:16;25.17;;;;722;06/06/2023;05:47:15;24.59;;;;
723;07/06/2023;05:39:19;25.02;;;;723;07/06/2023;05:40:16;25.16;;;;723;06/06/2023;05:48:15;24.62;;;;
724;07/06/2023;05:40:19;25.02;;;;724;07/06/2023;05:41:15;25.16;;;;724;06/06/2023;05:49:15;24.59;;;;
725;07/06/2023;05:41:19;25.02;;;;725;07/06/2023;05:42:15;25.16;;;;725;06/06/2023;05:50:15;24.6;;;;
726;07/06/2023;05:42:19;25.02;;;;726;07/06/2023;05:43:15;25.17;;;;726;06/06/2023;05:51:15;24.59;;;;
727;07/06/2023;05:43:19;25.03;;;;727;07/06/2023;05:44:15;25.15;;;;727;06/06/2023;05:52:15;24.6;;;;
728;07/06/2023;05:44:19;25.01;;;;728;07/06/2023;05:45:15;25.16;;;;728;06/06/2023;05:53:15;24.61;;;;
729;07/06/2023;05:45:19;24.99;;;;729;07/06/2023;05:46:15;25.16;;;;729;06/06/2023;05:54:15;24.6;;;;
730;07/06/2023;05:46:19;25;;;;730;07/06/2023;05:47:15;25.16;;;;730;06/06/2023;05:55:15;24.62;;;;
731;07/06/2023;05:47:19;25.02;;;;731;07/06/2023;05:48:15;25.16;;;;731;06/06/2023;05:56:15;24.61;;;;
732;07/06/2023;05:48:19;25.01;;;;732;07/06/2023;05:49:15;25.17;;;;732;06/06/2023;05:57:15;24.6;;;;
733;07/06/2023;05:49:19;25.01;;;;733;07/06/2023;05:50:15;25.17;;;;733;06/06/2023;05:58:15;24.62;;;;
734;07/06/2023;05:50:19;25.02;;;;734;07/06/2023;05:51:15;25.14;;;;734;06/06/2023;05:59:15;24.61;;;;
735;07/06/2023;05:51:19;25.02;;;;735;07/06/2023;05:52:15;25.16;;;;735;06/06/2023;06:00:15;24.61;;;;
736;07/06/2023;05:52:19;25;;;;736;07/06/2023;05:53:15;25.19;;;;736;06/06/2023;06:01:15;24.62;;;;
737;07/06/2023;05:53:19;25.02;;;;737;07/06/2023;05:54:15;25.15;;;;737;06/06/2023;06:02:15;24.6;;;;
738;07/06/2023;05:54:19;25;;;;738;07/06/2023;05:55:15;25.15;;;;738;06/06/2023;06:03:15;24.62;;;;
739;07/06/2023;05:55:20;25.01;;;;739;07/06/2023;05:56:15;25.16;;;;739;06/06/2023;06:04:15;24.61;;;;
740;07/06/2023;05:56:20;25.01;;;;740;07/06/2023;05:57:15;25.16;;;;740;06/06/2023;06:05:16;24.61;;;;
741;07/06/2023;05:57:20;25.01;;;;741;07/06/2023;05:58:15;25.16;;;;741;06/06/2023;06:06:16;24.6;;;;
742;07/06/2023;05:58:20;25.02;;;;742;07/06/2023;05:59:15;25.17;;;;742;06/06/2023;06:07:16;24.6;;;;
743;07/06/2023;05:59:20;25;;;;743;07/06/2023;06:00:15;25.15;;;;743;06/06/2023;06:08:16;24.59;;;;
744;07/06/2023;06:00:20;24.98;;;;744;07/06/2023;06:01:15;25.16;;;;744;06/06/2023;06:09:16;24.61;;;;
745;07/06/2023;06:01:20;24.99;;;;745;07/06/2023;06:02:15;25.16;;;;745;06/06/2023;06:10:16;24.61;;;;
746;07/06/2023;06:02:20;25;;;;746;07/06/2023;06:03:15;25.16;;;;746;06/06/2023;06:11:16;24.62;;;;
747;07/06/2023;06:03:20;25.02;;;;747;07/06/2023;06:04:15;25.15;;;;747;06/06/2023;06:12:16;24.6;;;;
748;07/06/2023;06:04:20;25;;;;748;07/06/2023;06:05:15;25.16;;;;748;06/06/2023;06:13:16;24.59;;;;
749;07/06/2023;06:05:20;25;;;;749;07/06/2023;06:06:14;25.16;;;;749;06/06/2023;06:14:16;24.61;;;;
750;07/06/2023;06:06:20;25;;;;750;07/06/2023;06:07:14;25.16;;;;750;06/06/2023;06:15:16;24.62;;;;
751;07/06/2023;06:07:20;25.02;;;;751;07/06/2023;06:08:14;25.14;;;;751;06/06/2023;06:16:16;24.62;;;;
752;07/06/2023;06:08:20;25.01;;;;752;07/06/2023;06:09:14;25.16;;;;752;06/06/2023;06:17:16;24.59;;;;
753;07/06/2023;06:09:20;24.99;;;;753;07/06/2023;06:10:14;25.16;;;;753;06/06/2023;06:18:16;24.59;;;;
754;07/06/2023;06:10:20;24.99;;;;754;07/06/2023;06:11:14;25.16;;;;754;06/06/2023;06:19:16;24.61;;;;
755;07/06/2023;06:11:20;25;;;;755;07/06/2023;06:12:14;25.14;;;;755;06/06/2023;06:20:16;24.6;;;;
756;07/06/2023;06:12:20;25;;;;756;07/06/2023;06:13:14;25.17;;;;756;06/06/2023;06:21:16;24.6;;;;
757;07/06/2023;06:13:20;25;;;;757;07/06/2023;06:14:14;25.16;;;;757;06/06/2023;06:22:16;24.59;;;;
758;07/06/2023;06:14:20;25;;;;758;07/06/2023;06:15:14;25.16;;;;758;06/06/2023;06:23:16;24.61;;;;
759;07/06/2023;06:15:20;25;;;;759;07/06/2023;06:16:14;25.16;;;;759;06/06/2023;06:24:17;24.59;;;;
760;07/06/2023;06:16:20;25.01;;;;760;07/06/2023;06:17:14;25.16;;;;760;06/06/2023;06:25:17;24.59;;;;
761;07/06/2023;06:17:20;25.01;;;;761;07/06/2023;06:18:14;25.16;;;;761;06/06/2023;06:26:17;24.61;;;;
762;07/06/2023;06:18:20;25.01;;;;762;07/06/2023;06:19:14;25.16;;;;762;06/06/2023;06:27:17;24.63;;;;
763;07/06/2023;06:19:20;25.02;;;;763;07/06/2023;06:20:14;25.16;;;;763;06/06/2023;06:28:17;24.61;;;;
764;07/06/2023;06:20:20;25.02;;;;764;07/06/2023;06:21:14;25.16;;;;764;06/06/2023;06:29:17;24.61;;;;
765;07/06/2023;06:21:20;24.98;;;;765;07/06/2023;06:22:14;25.15;;;;765;06/06/2023;06:30:17;24.6;;;;
766;07/06/2023;06:22:20;25.02;;;;766;07/06/2023;06:23:14;25.15;;;;766;06/06/2023;06:31:17;24.6;;;;
767;07/06/2023;06:23:20;25.02;;;;767;07/06/2023;06:24:14;25.16;;;;767;06/06/2023;06:32:17;24.58;;;;
768;07/06/2023;06:24:20;25.01;;;;768;07/06/2023;06:25:14;25.16;;;;768;06/06/2023;06:33:17;24.6;;;;
769;07/06/2023;06:25:20;25.02;;;;769;07/06/2023;06:26:14;25.15;;;;769;06/06/2023;06:34:17;24.61;;;;
770;07/06/2023;06:26:20;25.02;;;;770;07/06/2023;06:27:14;25.16;;;;770;06/06/2023;06:35:17;24.6;;;;
771;07/06/2023;06:27:20;25.02;;;;771;07/06/2023;06:28:14;25.16;;;;771;06/06/2023;06:36:17;24.58;;;;
772;07/06/2023;06:28:20;25.01;;;;772;07/06/2023;06:29:14;25.16;;;;772;06/06/2023;06:37:17;24.6;;;;
773;07/06/2023;06:29:20;25.01;;;;773;07/06/2023;06:30:14;25.16;;;;773;06/06/2023;06:38:17;24.59;;;;
774;07/06/2023;06:30:20;24.99;;;;774;07/06/2023;06:31:14;25.16;;;;774;06/06/2023;06:39:17;24.6;;;;
775;07/06/2023;06:31:20;25.01;;;;775;07/06/2023;06:32:14;25.16;;;;775;06/06/2023;06:40:17;24.62;;;;
776;07/06/2023;06:32:20;25;;;;776;07/06/2023;06:33:14;25.16;;;;776;06/06/2023;06:41:17;24.62;;;;
777;07/06/2023;06:33:20;25.01;;;;777;07/06/2023;06:34:14;25.16;;;;777;06/06/2023;06:42:18;24.63;;;;
778;07/06/2023;06:34:20;25.01;;;;778;07/06/2023;06:35:14;25.15;;;;778;06/06/2023;06:43:18;24.6;;;;
779;07/06/2023;06:35:20;25.02;;;;779;07/06/2023;06:36:14;25.16;;;;779;06/06/2023;06:44:18;24.59;;;;
780;07/06/2023;06:36:20;25.01;;;;780;07/06/2023;06:37:14;25.16;;;;780;06/06/2023;06:45:18;24.59;;;;
781;07/06/2023;06:37:20;25.02;;;;781;07/06/2023;06:38:13;25.16;;;;781;06/06/2023;06:46:18;24.6;;;;
782;07/06/2023;06:38:20;25.02;;;;782;07/06/2023;06:39:13;25.17;;;;782;06/06/2023;06:47:18;24.6;;;;
783;07/06/2023;06:39:20;25.02;;;;783;07/06/2023;06:40:13;25.15;;;;783;06/06/2023;06:48:18;24.62;;;;
784;07/06/2023;06:40:20;25.03;;;;784;07/06/2023;06:41:13;25.17;;;;784;06/06/2023;06:49:18;24.61;;;;
785;07/06/2023;06:41:20;25.02;;;;785;07/06/2023;06:42:13;25.17;;;;785;06/06/2023;06:50:18;24.61;;;;
786;07/06/2023;06:42:20;25.02;;;;786;07/06/2023;06:43:13;25.17;;;;786;06/06/2023;06:51:18;24.62;;;;
787;07/06/2023;06:43:20;25.03;;;;787;07/06/2023;06:44:13;25.19;;;;787;06/06/2023;06:52:18;24.58;;;;
788;07/06/2023;06:44:20;25.02;;;;788;07/06/2023;06:45:13;25.16;;;;788;06/06/2023;06:53:18;24.6;;;;
789;07/06/2023;06:45:20;25.04;;;;789;07/06/2023;06:46:13;25.17;;;;789;06/06/2023;06:54:18;24.61;;;;
790;07/06/2023;06:46:20;25.05;;;;790;07/06/2023;06:47:13;25.17;;;;790;06/06/2023;06:55:18;24.61;;;;
791;07/06/2023;06:47:20;25.02;;;;791;07/06/2023;06:48:13;25.19;;;;791;06/06/2023;06:56:18;24.63;;;;
792;07/06/2023;06:48:21;25.02;;;;792;07/06/2023;06:49:13;25.17;;;;792;06/06/2023;06:57:18;24.61;;;;
793;07/06/2023;06:49:21;25.03;;;;793;07/06/2023;06:50:13;25.16;;;;793;06/06/2023;06:58:18;24.61;;;;
794;07/06/2023;06:50:21;25.04;;;;794;07/06/2023;06:51:13;25.17;;;;794;06/06/2023;06:59:18;24.62;;;;
795;07/06/2023;06:51:21;25.03;;;;795;07/06/2023;06:52:13;25.21;;;;795;06/06/2023;07:00:18;24.6;;;;
796;07/06/2023;06:52:21;25.05;;;;796;07/06/2023;06:53:13;25.19;;;;796;06/06/2023;07:01:18;24.61;;;;
797;07/06/2023;06:53:21;25.03;;;;797;07/06/2023;06:54:13;25.2;;;;797;06/06/2023;07:02:19;24.61;;;;
798;07/06/2023;06:54:21;25.05;;;;798;07/06/2023;06:55:13;25.19;;;;798;06/06/2023;07:03:19;24.63;;;;
799;07/06/2023;06:55:21;25.05;;;;799;07/06/2023;06:56:13;25.2;;;;799;06/06/2023;07:04:19;24.59;;;;
800;07/06/2023;06:56:21;25.05;;;;800;07/06/2023;06:57:13;25.2;;;;800;06/06/2023;07:05:19;24.58;;;;
801;07/06/2023;06:57:21;25.06;;;;801;07/06/2023;06:58:13;25.2;;;;801;06/06/2023;07:06:19;24.62;Synchronized;;;
802;07/06/2023;06:58:21;25.06;;;;802;07/06/2023;06:59:13;25.2;;;;802;06/06/2023;07:07:19;24.61;;;;
