SenseLab_M05;
Time Zone;UTC+2:00;
Monitor;80.80.10.43;
;
Pill n°1;24.00.1A.D0;;;;;;Pill n°2;24.00.1B.19;;;;;;Pill n°3;24.00.1A.F0;;;;;;
Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;
597;12/06/2023;11:39:03;34.91;;;;597;07/06/2023;03:25:28;24.99;;;;597;07/06/2023;03:25:32;25.2;;;;
598;12/06/2023;11:39:18;35;Synchronized;;;598;07/06/2023;03:26:28;24.99;;;;598;07/06/2023;03:26:32;25.2;;;;
599;12/06/2023;11:39:33;35.02;Synchronized;;;599;07/06/2023;03:27:28;24.99;;;;599;07/06/2023;03:27:32;25.2;;;;
600;12/06/2023;11:39:48;35.05;;;;600;07/06/2023;03:28:28;25;;;;600;07/06/2023;03:28:32;25.2;;;;
601;12/06/2023;11:40:03;35.08;Synchronized;;;601;07/06/2023;03:29:28;24.99;;;;601;07/06/2023;03:29:32;25.2;;;;
602;12/06/2023;11:40:18;34.97;Synchronized;;;602;07/06/2023;03:30:28;24.98;;;;602;07/06/2023;03:30:31;25.2;;;;
603;12/06/2023;11:40:33;34.99;Synchronized;;;603;07/06/2023;03:31:28;25;;;;603;07/06/2023;03:31:31;25.22;;;;
604;12/06/2023;11:40:48;34.97;Synchronized;;;604;07/06/2023;03:32:28;24.97;;;;604;07/06/2023;03:32:31;25.2;;;;
605;12/06/2023;11:41:03;34.8;Synchronized;;;605;07/06/2023;03:33:28;25.01;;;;605;07/06/2023;03:33:31;25.2;;;;
606;12/06/2023;11:41:18;34.77;Synchronized;;;606;07/06/2023;03:34:28;24.99;;;;606;07/06/2023;03:34:31;25.19;;;;
607;12/06/2023;11:41:33;34.9;Synchronized;;;607;07/06/2023;03:35:28;25.02;;;;607;07/06/2023;03:35:31;25.2;;;;
608;12/06/2023;11:41:48;35.02;Synchronized;;;608;07/06/2023;03:36:28;24.99;;;;608;07/06/2023;03:36:31;25.2;;;;
609;12/06/2023;11:42:03;35.21;Synchronized;;;609;07/06/2023;03:37:28;25;;;;609;07/06/2023;03:37:31;25.2;;;;
610;12/06/2023;11:42:18;35.38;;;;610;07/06/2023;03:38:28;24.97;;;;610;07/06/2023;03:38:31;25.19;;;;
611;12/06/2023;11:42:33;35.52;;;;611;07/06/2023;03:39:28;25;Synchronized;;;611;07/06/2023;03:39:31;25.2;;;;
612;12/06/2023;11:42:48;35.65;;;;612;07/06/2023;03:40:28;24.97;;;;612;07/06/2023;03:40:31;25.19;;;;
613;12/06/2023;11:43:03;35.74;;;;613;07/06/2023;03:41:28;24.96;;;;613;07/06/2023;03:41:30;25.18;;;;
614;12/06/2023;11:44:03;35.7;;;;614;07/06/2023;03:42:28;24.96;Synchronized;;;614;07/06/2023;03:42:30;25.2;;;;
615;12/06/2023;11:45:03;35.86;;;;615;07/06/2023;03:43:28;24.96;;;;615;07/06/2023;03:43:30;25.19;;;;
616;12/06/2023;11:46:03;36.01;;;;616;07/06/2023;03:44:28;24.99;;;;616;07/06/2023;03:44:30;25.2;;;;
617;12/06/2023;11:47:02;36.2;;;;617;07/06/2023;03:45:28;24.96;Synchronized;;;617;07/06/2023;03:45:30;25.2;;;;
618;12/06/2023;11:48:02;36.43;;;;618;07/06/2023;03:46:28;24.97;;;;618;07/06/2023;03:46:30;25.18;Synchronized;;;
619;12/06/2023;11:49:02;36.6;;;;619;07/06/2023;03:47:28;24.98;;;;619;07/06/2023;03:47:30;25.19;;;;
620;12/06/2023;11:50:02;36.71;;;;620;07/06/2023;03:48:28;24.98;;;;620;07/06/2023;03:48:30;25.17;;;;
621;12/06/2023;11:51:02;36.84;;;;621;07/06/2023;03:49:28;24.98;;;;621;07/06/2023;03:49:30;25.2;;;;
622;12/06/2023;11:52:02;36.88;;;;622;07/06/2023;03:50:28;24.96;Synchronized;;;622;07/06/2023;03:50:30;25.2;;;;
623;12/06/2023;11:53:02;36.95;Synchronized;;;623;07/06/2023;03:51:28;24.95;;;;623;07/06/2023;03:51:29;25.18;;;;
624;12/06/2023;11:54:02;37.02;;;;624;07/06/2023;03:52:28;24.96;;;;624;07/06/2023;03:52:29;25.2;;;;
625;12/06/2023;11:55:02;37.05;;;;625;07/06/2023;03:53:28;24.95;;;;625;07/06/2023;03:53:29;25.18;;;;
626;12/06/2023;11:56:01;37.12;;;;626;07/06/2023;03:54:28;24.95;;;;626;07/06/2023;03:54:29;25.17;;;;
627;12/06/2023;11:57:01;37.27;;;;627;07/06/2023;03:55:28;24.95;;;;627;07/06/2023;03:55:29;25.17;;;;
628;12/06/2023;11:58:01;37.42;;;;628;07/06/2023;03:56:28;24.95;;;;628;07/06/2023;03:56:29;25.18;;;;
629;12/06/2023;11:59:01;37.09;;;;629;07/06/2023;03:57:28;24.96;;;;629;07/06/2023;03:57:29;25.16;;;;
630;12/06/2023;12:00:01;36.82;;;;630;07/06/2023;03:58:28;24.96;Synchronized;;;630;07/06/2023;03:58:29;25.16;;;;
631;12/06/2023;12:01:01;36.46;;;;631;07/06/2023;03:59:28;24.93;;;;631;07/06/2023;03:59:29;25.17;;;;
632;12/06/2023;12:02:01;36.45;Synchronized;;;632;07/06/2023;04:00:28;24.95;;;;632;07/06/2023;04:00:29;25.17;;;;
633;12/06/2023;12:03:01;36.62;;;;633;07/06/2023;04:01:28;24.95;;;;633;07/06/2023;04:01:28;25.15;;;;
634;12/06/2023;12:04:01;36.83;;;;634;07/06/2023;04:02:28;24.95;;;;634;07/06/2023;04:02:28;25.18;;;;
635;12/06/2023;12:05:00;37.04;;;;635;07/06/2023;04:03:28;24.95;;;;635;07/06/2023;04:03:28;25.18;;;;
636;12/06/2023;12:06:00;37.13;;;;636;07/06/2023;04:04:28;24.97;;;;636;07/06/2023;04:04:28;25.17;;;;
637;12/06/2023;12:07:00;37.23;Synchronized;;;637;07/06/2023;04:05:28;24.95;Synchronized;;;637;07/06/2023;04:05:28;25.18;;;;
638;12/06/2023;12:08:00;37.27;Synchronized;;;638;07/06/2023;04:06:28;24.95;;;;638;07/06/2023;04:06:28;25.17;;;;
639;12/06/2023;12:09:00;37.32;Synchronized;;;639;07/06/2023;04:07:28;24.97;;;;639;07/06/2023;04:07:28;25.16;;;;
640;12/06/2023;12:10:00;37.3;;;;640;07/06/2023;04:08:28;24.95;;;;640;07/06/2023;04:08:28;25.17;;;;
641;12/06/2023;12:11:00;37.34;;;;641;07/06/2023;04:09:28;24.96;;;;641;07/06/2023;04:09:28;25.18;;;;
642;12/06/2023;12:12:00;37.4;;;;642;07/06/2023;04:10:28;24.99;;;;642;07/06/2023;04:10:28;25.17;;;;
643;12/06/2023;12:13:00;37.41;;;;643;07/06/2023;04:11:28;24.97;Synchronized;;;643;07/06/2023;04:11:28;25.19;;;;
644;12/06/2023;12:13:59;37.42;;;;644;07/06/2023;04:12:28;25;Synchronized;;;644;07/06/2023;04:12:27;25.16;;;;
645;12/06/2023;12:14:59;37.39;;;;645;07/06/2023;04:13:28;24.97;;;;645;07/06/2023;04:13:27;25.17;;;;
646;12/06/2023;12:15:59;37.38;Synchronized;;;646;07/06/2023;04:14:28;24.97;;;;646;07/06/2023;04:14:27;25.16;;;;
647;12/06/2023;12:16:59;37.41;Synchronized;;;647;07/06/2023;04:15:28;24.95;;;;647;07/06/2023;04:15:27;25.16;;;;
648;12/06/2023;12:17:59;37.45;;;;648;07/06/2023;04:16:28;24.98;;;;648;07/06/2023;04:16:27;25.17;;;;
649;12/06/2023;12:18:59;37.48;;;;649;07/06/2023;04:17:28;24.95;;;;649;07/06/2023;04:17:27;25.15;;;;
650;12/06/2023;12:19:59;37.52;;;;650;07/06/2023;04:18:28;24.95;;;;650;07/06/2023;04:18:27;25.16;;;;
651;12/06/2023;12:20:59;37.54;;;;651;07/06/2023;04:19:28;24.95;;;;651;07/06/2023;04:19:27;25.17;;;;
652;12/06/2023;12:21:58;37.52;;;;652;07/06/2023;04:20:28;24.96;;;;652;07/06/2023;04:20:27;25.15;;;;
653;12/06/2023;12:22:58;37.55;;;;653;07/06/2023;04:21:28;24.95;;;;653;07/06/2023;04:21:26;25.17;;;;
654;12/06/2023;12:23:58;37.53;;;;654;07/06/2023;04:22:28;24.94;;;;654;07/06/2023;04:22:26;25.17;;;;
655;12/06/2023;12:24:58;37.57;;;;655;07/06/2023;04:23:28;24.98;;;;655;07/06/2023;04:23:26;25.16;;;;
656;12/06/2023;12:25:58;37.54;;;;656;07/06/2023;04:24:27;24.92;;;;656;07/06/2023;04:24:26;25.14;;;;
657;12/06/2023;12:26:58;37.48;Synchronized;;;657;07/06/2023;04:25:27;24.92;;;;657;07/06/2023;04:25:26;25.16;;;;
658;12/06/2023;12:27:58;37.49;;;;658;07/06/2023;04:26:28;24.93;;;;658;07/06/2023;04:26:26;25.15;;;;
659;12/06/2023;12:28:57;37.45;;;;659;07/06/2023;04:27:28;24.91;;;;659;07/06/2023;04:27:26;25.16;;;;
660;12/06/2023;12:29:57;37.46;;;;660;07/06/2023;04:28:28;24.92;Synchronized;;;660;07/06/2023;04:28:26;25.16;;;;
661;12/06/2023;12:30:57;37.45;;;;661;07/06/2023;04:29:28;24.93;;;;661;07/06/2023;04:29:26;25.14;;;;
662;12/06/2023;12:31:57;37.45;;;;662;07/06/2023;04:30:28;24.94;;;;662;07/06/2023;04:30:26;25.14;;;;
663;12/06/2023;12:32:57;37.42;;;;663;07/06/2023;04:31:27;24.93;;;;663;07/06/2023;04:31:26;25.16;;;;
664;12/06/2023;12:33:57;37.41;Synchronized;;;664;07/06/2023;04:32:27;24.95;;;;664;07/06/2023;04:32:25;25.13;;;;
665;12/06/2023;12:34:57;37.39;Synchronized;;;665;07/06/2023;04:33:27;24.95;Synchronized;;;665;07/06/2023;04:33:25;25.16;;;;
666;12/06/2023;12:35:57;37.41;Synchronized;;;666;07/06/2023;04:34:27;24.94;;;;666;07/06/2023;04:34:25;25.13;;;;
667;12/06/2023;12:36:56;37.41;Synchronized;;;667;07/06/2023;04:35:27;24.93;;;;667;07/06/2023;04:35:25;25.16;;;;
668;12/06/2023;12:37:56;37.44;Synchronized;;;668;07/06/2023;04:36:27;24.94;;;;668;07/06/2023;04:36:25;25.15;;;;
669;12/06/2023;12:38:56;37.45;Synchronized;;;669;07/06/2023;04:37:27;24.95;;;;669;07/06/2023;04:37:25;25.14;;;;
670;12/06/2023;12:39:56;37.48;Synchronized;;;670;07/06/2023;04:38:27;24.93;Synchronized;;;670;07/06/2023;04:38:25;25.16;;;;
671;12/06/2023;12:40:56;37.52;Synchronized;;;671;07/06/2023;04:39:27;24.93;;;;671;07/06/2023;04:39:25;25.15;;;;
672;12/06/2023;12:41:56;37.5;Synchronized;;;672;07/06/2023;04:40:27;24.95;;;;672;07/06/2023;04:40:25;25.14;;;;
673;12/06/2023;12:42:55;37.53;Synchronized;;;673;07/06/2023;04:41:27;24.94;Synchronized;;;673;07/06/2023;04:41:25;25.15;;;;
674;12/06/2023;12:43:55;37.54;Synchronized;;;674;07/06/2023;04:42:27;24.95;;;;674;07/06/2023;04:42:24;25.15;;;;
675;12/06/2023;12:44:55;37.55;Synchronized;;;675;07/06/2023;04:43:27;24.95;;;;675;07/06/2023;04:43:24;25.14;;;;
676;12/06/2023;12:45:55;37.5;Synchronized;;;676;07/06/2023;04:44:27;24.93;;;;676;07/06/2023;04:44:24;25.13;;;;
677;12/06/2023;12:46:55;37.49;Synchronized;;;677;07/06/2023;04:45:27;24.91;;;;677;07/06/2023;04:45:24;25.13;;;;
678;12/06/2023;12:47:55;37.48;Synchronized;;;678;07/06/2023;04:46:27;24.93;Synchronized;;;678;07/06/2023;04:46:24;25.13;;;;
679;12/06/2023;12:48:54;37.52;Synchronized;;;679;07/06/2023;04:47:27;24.92;;;;679;07/06/2023;04:47:24;25.14;;;;
680;12/06/2023;12:49:54;37.53;Synchronized;;;680;07/06/2023;04:48:27;24.92;;;;680;07/06/2023;04:48:24;25.14;Synchronized;;;
681;12/06/2023;12:50:54;37.52;Synchronized;;;681;07/06/2023;04:49:27;24.93;;;;681;07/06/2023;04:49:24;25.13;;;;
682;12/06/2023;12:51:54;37.49;Synchronized;;;682;07/06/2023;04:50:27;24.92;Synchronized;;;682;07/06/2023;04:50:24;25.13;;;;
683;12/06/2023;12:52:54;37.53;Synchronized;;;683;07/06/2023;04:51:27;24.94;;;;683;07/06/2023;04:51:24;25.13;Synchronized;;;
684;12/06/2023;12:53:54;37.53;Synchronized;;;684;07/06/2023;04:52:27;24.94;;;;684;07/06/2023;04:52:24;25.14;;;;
685;12/06/2023;12:54:53;37.52;Synchronized;;;685;07/06/2023;04:53:27;24.95;;;;685;07/06/2023;04:53:23;25.13;;;;
686;12/06/2023;12:55:53;37.52;Synchronized;;;686;07/06/2023;04:54:27;24.94;;;;686;07/06/2023;04:54:23;25.13;;;;
687;12/06/2023;12:56:53;37.55;Synchronized;;;687;07/06/2023;04:55:27;24.95;;;;687;07/06/2023;04:55:23;25.15;;;;
688;12/06/2023;12:57:53;37.55;Synchronized;;;688;07/06/2023;04:56:27;24.95;;;;688;07/06/2023;04:56:23;25.14;;;;
689;12/06/2023;12:58:53;37.55;Synchronized;;;689;07/06/2023;04:57:27;24.95;;;;689;07/06/2023;04:57:23;25.13;;;;
690;12/06/2023;12:59:53;37.58;Synchronized;;;690;07/06/2023;04:58:27;24.96;;;;690;07/06/2023;04:58:23;25.13;;;;
691;12/06/2023;13:00:52;37.59;Synchronized;;;691;07/06/2023;04:59:27;24.95;;;;691;07/06/2023;04:59:23;25.12;;;;
692;12/06/2023;13:01:52;37.59;Synchronized;;;692;07/06/2023;05:00:27;24.94;;;;692;07/06/2023;05:00:23;25.13;;;;
693;12/06/2023;13:02:52;37.58;Synchronized;;;693;07/06/2023;05:01:27;24.93;;;;693;07/06/2023;05:01:23;25.14;;;;
694;12/06/2023;13:03:52;37.59;Synchronized;;;694;07/06/2023;05:02:27;24.94;;;;694;07/06/2023;05:02:23;25.14;;;;
695;12/06/2023;13:04:52;37.59;Synchronized;;;695;07/06/2023;05:03:27;24.93;;;;695;07/06/2023;05:03:23;25.13;;;;
696;12/06/2023;13:05:52;37.66;Synchronized;;;696;07/06/2023;05:04:27;24.95;;;;696;07/06/2023;05:04:22;25.14;;;;
697;12/06/2023;13:06:52;37.67;Synchronized;;;697;07/06/2023;05:05:27;24.95;Synchronized;;;697;07/06/2023;05:05:22;25.12;;;;
698;12/06/2023;13:07:51;37.7;Synchronized;;;698;07/06/2023;05:06:27;24.95;;;;698;07/06/2023;05:06:22;25.12;;;;
699;12/06/2023;13:08:51;37.76;Synchronized;;;699;07/06/2023;05:07:27;24.91;;;;699;07/06/2023;05:07:22;25.12;;;;
700;12/06/2023;13:09:51;37.72;Synchronized;;;700;07/06/2023;05:08:27;24.94;;;;700;07/06/2023;05:08:22;25.13;;;;
701;12/06/2023;13:10:51;37.66;Synchronized;;;701;07/06/2023;05:09:27;24.91;;;;701;07/06/2023;05:09:22;25.13;;;;
702;12/06/2023;13:11:51;37.68;Synchronized;;;702;07/06/2023;05:10:27;24.95;;;;702;07/06/2023;05:10:22;25.12;;;;
703;12/06/2023;13:12:51;37.68;Synchronized;;;703;07/06/2023;05:11:27;24.94;;;;703;07/06/2023;05:11:22;25.12;;;;
704;12/06/2023;13:13:50;37.66;Synchronized;;;704;07/06/2023;05:12:27;24.95;;;;704;07/06/2023;05:12:22;25.12;;;;
705;12/06/2023;13:14:50;37.66;Synchronized;;;705;07/06/2023;05:13:27;24.92;;;;705;07/06/2023;05:13:22;25.12;;;;
706;12/06/2023;13:15:50;37.68;Synchronized;;;706;07/06/2023;05:14:27;24.93;;;;706;07/06/2023;05:14:22;25.13;;;;
707;12/06/2023;13:16:50;37.67;Synchronized;;;707;07/06/2023;05:15:27;24.92;;;;707;07/06/2023;05:15:22;25.13;Synchronized;;;
708;12/06/2023;13:17:50;37.69;Synchronized;;;708;07/06/2023;05:16:27;24.94;;;;708;07/06/2023;05:16:21;25.11;;;;
709;12/06/2023;13:18:50;37.7;Synchronized;;;709;07/06/2023;05:17:27;24.92;;;;709;07/06/2023;05:17:21;25.11;;;;
710;12/06/2023;13:19:49;37.7;Synchronized;;;710;07/06/2023;05:18:27;24.91;;;;710;07/06/2023;05:18:21;25.1;;;;
711;12/06/2023;13:20:49;37.68;Synchronized;;;711;07/06/2023;05:19:27;24.91;;;;711;07/06/2023;05:19:21;25.13;;;;
712;12/06/2023;13:21:49;37.69;Synchronized;;;712;07/06/2023;05:20:27;24.91;;;;712;07/06/2023;05:20:21;25.1;;;;
713;12/06/2023;13:22:49;37.66;Synchronized;;;713;07/06/2023;05:21:27;24.9;;;;713;07/06/2023;05:21:21;25.09;;;;
714;12/06/2023;13:23:49;37.65;Synchronized;;;714;07/06/2023;05:22:27;24.9;;;;714;07/06/2023;05:22:21;25.11;;;;
715;12/06/2023;13:24:49;37.67;Synchronized;;;715;07/06/2023;05:23:28;24.89;;;;715;07/06/2023;05:23:21;25.1;;;;
716;12/06/2023;13:25:48;37.66;Synchronized;;;716;07/06/2023;05:24:28;24.9;;;;716;07/06/2023;05:24:21;25.09;;;;
717;12/06/2023;13:26:48;37.63;Synchronized;;;717;07/06/2023;05:25:28;24.89;;;;717;07/06/2023;05:25:21;25.11;Synchronized;;;
718;12/06/2023;13:27:48;37.68;Synchronized;;;718;07/06/2023;05:26:28;24.87;Synchronized;;;718;07/06/2023;05:26:20;25.1;;;;
719;12/06/2023;13:28:48;37.7;;;;719;07/06/2023;05:27:28;24.87;;;;719;07/06/2023;05:27:20;25.1;;;;
720;12/06/2023;13:29:48;37.7;Synchronized;;;720;07/06/2023;05:28:28;24.87;;;;720;07/06/2023;05:28:20;25.1;;;;
721;12/06/2023;13:30:48;37.7;;;;721;07/06/2023;05:29:28;24.85;;;;721;07/06/2023;05:29:20;25.09;;;;
722;12/06/2023;13:31:48;37.59;Synchronized;;;722;07/06/2023;05:30:28;24.87;;;;722;07/06/2023;05:30:20;25.09;;;;
723;12/06/2023;13:32:47;37.53;Synchronized;;;723;07/06/2023;05:31:28;24.88;;;;723;07/06/2023;05:31:20;25.07;;;;
724;12/06/2023;13:33:47;37.52;;;;724;07/06/2023;05:32:28;24.85;;;;724;07/06/2023;05:32:20;25.11;;;;
725;12/06/2023;13:34:47;37.46;;;;725;07/06/2023;05:33:28;24.85;;;;725;07/06/2023;05:33:20;25.1;;;;
726;12/06/2023;13:35:47;37.46;;;;726;07/06/2023;05:34:28;24.88;Synchronized;;;726;07/06/2023;05:34:19;25.09;;;;
727;12/06/2023;13:36:47;37.45;Synchronized;;;727;07/06/2023;05:35:28;24.89;Synchronized;;;727;07/06/2023;05:35:19;25.09;;;;
728;12/06/2023;13:37:47;37.43;Synchronized;;;728;07/06/2023;05:36:28;24.88;;;;728;07/06/2023;05:36:19;25.1;;;;
729;12/06/2023;13:38:47;37.42;Synchronized;;;729;07/06/2023;05:37:28;24.85;;;;729;07/06/2023;05:37:19;25.09;;;;
730;12/06/2023;13:39:47;37.43;Synchronized;;;730;07/06/2023;05:38:28;24.88;;;;730;07/06/2023;05:38:19;25.09;;;;
731;12/06/2023;13:40:46;37.42;Synchronized;;;731;07/06/2023;05:39:28;24.88;;;;731;07/06/2023;05:39:19;25.09;;;;
732;12/06/2023;13:41:46;37.43;Synchronized;;;732;07/06/2023;05:40:28;24.88;;;;732;07/06/2023;05:40:19;25.09;;;;
733;12/06/2023;13:42:46;37.44;Synchronized;;;733;07/06/2023;05:41:28;24.88;;;;733;07/06/2023;05:41:19;25.07;;;;
734;12/06/2023;13:43:46;37.45;;;;734;07/06/2023;05:42:28;24.87;;;;734;07/06/2023;05:42:19;25.08;;;;
735;12/06/2023;13:44:46;37.42;Synchronized;;;735;07/06/2023;05:43:28;24.88;;;;735;07/06/2023;05:43:19;25.09;;;;
736;12/06/2023;13:45:45;37.43;Synchronized;;;736;07/06/2023;05:44:28;24.87;;;;736;07/06/2023;05:44:19;25.09;;;;
737;12/06/2023;13:46:45;37.48;;;;737;07/06/2023;05:45:28;24.85;;;;737;07/06/2023;05:45:19;25.08;;;;
738;12/06/2023;13:47:45;37.47;Synchronized;;;738;07/06/2023;05:46:28;24.88;;;;738;07/06/2023;05:46:19;25.09;;;;
739;12/06/2023;13:48:45;37.48;;;;739;07/06/2023;05:47:28;24.88;;;;739;07/06/2023;05:47:18;25.09;;;;
740;12/06/2023;13:49:45;37.48;;;;740;07/06/2023;05:48:28;24.88;;;;740;07/06/2023;05:48:18;25.1;;;;
741;12/06/2023;13:50:45;37.49;Synchronized;;;741;07/06/2023;05:49:28;24.87;;;;741;07/06/2023;05:49:18;25.09;;;;
742;12/06/2023;13:51:44;37.48;Synchronized;;;742;07/06/2023;05:50:28;24.84;;;;742;07/06/2023;05:50:18;25.08;;;;
743;12/06/2023;13:52:44;37.46;;;;743;07/06/2023;05:51:28;24.87;;;;743;07/06/2023;05:51:18;25.09;;;;
744;12/06/2023;13:53:44;37.45;;;;744;07/06/2023;05:52:28;24.85;;;;744;07/06/2023;05:52:18;25.09;;;;
745;12/06/2023;13:54:44;37.41;Synchronized;;;745;07/06/2023;05:53:28;24.87;;;;745;07/06/2023;05:53:18;25.09;;;;
746;12/06/2023;13:55:44;37.45;Synchronized;;;746;07/06/2023;05:54:28;24.85;;;;746;07/06/2023;05:54:18;25.08;;;;
747;12/06/2023;13:56:44;37.41;;;;747;07/06/2023;05:55:28;24.84;;;;747;07/06/2023;05:55:18;25.06;;;;
748;12/06/2023;13:57:44;37.45;;;;748;07/06/2023;05:56:28;24.83;Synchronized;;;748;07/06/2023;05:56:17;25.08;;;;
749;12/06/2023;13:58:44;37.45;Synchronized;;;749;07/06/2023;05:57:28;24.83;Synchronized;;;749;07/06/2023;05:57:17;25.07;;;;
750;12/06/2023;13:59:43;37.46;;;;750;07/06/2023;05:58:28;24.85;;;;750;07/06/2023;05:58:17;25.09;;;;
751;12/06/2023;14:00:43;37.49;Synchronized;;;751;07/06/2023;05:59:28;24.84;;;;751;07/06/2023;05:59:17;25.06;;;;
752;12/06/2023;14:01:43;37.47;;;;752;07/06/2023;06:00:28;24.85;;;;752;07/06/2023;06:00:17;25.08;;;;
753;12/06/2023;14:02:43;37.48;;;;753;07/06/2023;06:01:28;24.88;;;;753;07/06/2023;06:01:17;25.08;;;;
754;12/06/2023;14:03:43;37.48;;;;754;07/06/2023;06:02:28;24.85;;;;754;07/06/2023;06:02:17;25.08;;;;
755;12/06/2023;14:04:43;37.48;;;;755;07/06/2023;06:03:28;24.84;;;;755;07/06/2023;06:03:16;25.06;;;;
756;12/06/2023;14:05:42;37.5;;;;756;07/06/2023;06:04:28;24.84;;;;756;07/06/2023;06:04:16;25.09;;;;
757;12/06/2023;14:06:42;37.52;;;;757;07/06/2023;06:05:28;24.85;;;;757;07/06/2023;06:05:16;25.08;;;;
758;12/06/2023;14:07:42;37.54;Synchronized;;;758;07/06/2023;06:06:28;24.87;;;;758;07/06/2023;06:06:16;25.06;;;;
759;12/06/2023;14:08:42;37.52;Synchronized;;;759;07/06/2023;06:07:28;24.85;;;;759;07/06/2023;06:07:16;25.09;;;;
760;12/06/2023;14:09:42;37.48;Synchronized;;;760;07/06/2023;06:08:28;24.84;;;;760;07/06/2023;06:08:16;25.06;;;;
761;12/06/2023;14:10:42;37.49;Synchronized;;;761;07/06/2023;06:09:28;24.87;;;;761;07/06/2023;06:09:16;25.06;;;;
762;12/06/2023;14:11:42;37.52;;;;762;07/06/2023;06:10:28;24.87;;;;762;07/06/2023;06:10:16;25.08;;;;
763;12/06/2023;14:12:41;37.48;;;;763;07/06/2023;06:11:28;24.81;;;;763;07/06/2023;06:11:16;25.06;;;;
764;12/06/2023;14:13:41;37.49;;;;764;07/06/2023;06:12:28;24.84;;;;764;07/06/2023;06:12:16;25.08;;;;
765;12/06/2023;14:14:41;37.49;Synchronized;;;765;07/06/2023;06:13:28;24.84;;;;765;07/06/2023;06:13:15;25.08;;;;
766;12/06/2023;14:15:41;37.48;Synchronized;;;766;07/06/2023;06:14:28;24.85;Synchronized;;;766;07/06/2023;06:14:15;25.08;;;;
767;12/06/2023;14:16:40;37.49;Synchronized;;;767;07/06/2023;06:15:28;24.85;;;;767;07/06/2023;06:15:15;25.06;;;;
768;12/06/2023;14:17:40;37.52;Synchronized;;;768;07/06/2023;06:16:28;24.84;;;;768;07/06/2023;06:16:15;25.06;;;;
769;12/06/2023;14:18:40;37.48;Synchronized;;;769;07/06/2023;06:17:28;24.84;;;;769;07/06/2023;06:17:15;25.06;;;;
770;12/06/2023;14:19:40;37.49;;;;770;07/06/2023;06:18:28;24.84;Synchronized;;;770;07/06/2023;06:18:15;25.08;;;;
771;12/06/2023;14:20:40;37.52;Synchronized;;;771;07/06/2023;06:19:28;24.87;;;;771;07/06/2023;06:19:15;25.06;;;;
772;12/06/2023;14:21:40;37.53;Synchronized;;;772;07/06/2023;06:20:28;24.88;;;;772;07/06/2023;06:20:15;25.08;;;;
773;12/06/2023;14:22:40;37.52;Synchronized;;;773;07/06/2023;06:21:28;24.9;;;;773;07/06/2023;06:21:14;25.08;;;;
774;12/06/2023;14:23:40;37.55;Synchronized;;;774;07/06/2023;06:22:28;24.88;Synchronized;;;774;07/06/2023;06:22:14;25.07;;;;
775;12/06/2023;14:24:39;37.58;Synchronized;;;775;07/06/2023;06:23:28;24.89;;;;775;07/06/2023;06:23:14;25.09;;;;
776;12/06/2023;14:25:39;37.59;Synchronized;;;776;07/06/2023;06:24:28;24.87;;;;776;07/06/2023;06:24:14;25.07;;;;
777;12/06/2023;14:26:39;37.58;Synchronized;;;777;07/06/2023;06:25:28;24.87;;;;777;07/06/2023;06:25:14;25.08;;;;
778;12/06/2023;14:27:39;37.57;Synchronized;;;778;07/06/2023;06:26:28;24.88;;;;778;07/06/2023;06:26:14;25.05;;;;
779;12/06/2023;14:28:39;37.57;;;;779;07/06/2023;06:27:28;24.88;;;;779;07/06/2023;06:27:14;25.07;;;;
780;12/06/2023;14:29:39;37.59;Synchronized;;;780;07/06/2023;06:28:28;24.89;Synchronized;;;780;07/06/2023;06:28:13;25.07;;;;
781;12/06/2023;14:30:39;37.56;Synchronized;;;781;07/06/2023;06:29:28;24.89;Synchronized;;;781;07/06/2023;06:29:13;25.07;;;;
782;12/06/2023;14:31:39;37.55;Synchronized;;;782;07/06/2023;06:30:28;24.91;;;;782;07/06/2023;06:30:13;25.07;;;;
783;12/06/2023;14:32:38;37.57;Synchronized;;;783;07/06/2023;06:31:28;24.9;Synchronized;;;783;07/06/2023;06:31:13;25.07;;;;
784;12/06/2023;14:33:38;37.55;Synchronized;;;784;07/06/2023;06:32:28;24.9;;;;784;07/06/2023;06:32:13;25.1;;;;
785;12/06/2023;14:34:38;37.55;Synchronized;;;785;07/06/2023;06:33:28;24.91;;;;785;07/06/2023;06:33:13;25.09;;;;
786;12/06/2023;14:35:38;37.55;;;;786;07/06/2023;06:34:28;24.91;;;;786;07/06/2023;06:34:13;25.08;;;;
787;12/06/2023;14:36:38;37.56;Synchronized;;;787;07/06/2023;06:35:28;24.91;;;;787;07/06/2023;06:35:13;25.07;;;;
788;12/06/2023;14:37:37;37.56;Synchronized;;;788;07/06/2023;06:36:28;24.94;;;;788;07/06/2023;06:36:12;25.08;;;;
789;12/06/2023;14:38:37;37.54;;;;789;07/06/2023;06:37:28;24.92;;;;789;07/06/2023;06:37:12;25.08;;;;
790;12/06/2023;14:39:37;37.53;Synchronized;;;790;07/06/2023;06:38:28;24.93;;;;790;07/06/2023;06:38:12;25.09;;;;
